DatasetID,year1,author1,DATA-CM (B/SR/EV) 0.1,ERR-S (B/SR/EV) 0.944,EN (EV) 1.1,EN-RSL-FW (EV) 1.922,E-EXC (EV) 2.1,E-RSL (EV) 2.922,ANG-CM (ADEG) 3.1,ANG-RSL (ADEG) 3.922,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
13516002,1991,K.H.Hicks+,4.17787e-10,3.43343e-10,2.98e+8,7.0e+5,7.4e+5,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,3.23574e-10,1.85711e-10,2.98e+8,7.0e+5,9.9e+5,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,2.87372e-10,1.03649e-10,2.98e+8,7.0e+5,1.24e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.54328e-10,2.31547e-11,2.98e+8,7.0e+5,1.49e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,7.47432e-11,2.89707e-11,2.98e+8,7.0e+5,1.74e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,2.65662e-11,1.52853e-11,2.98e+8,7.0e+5,1.99e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.72142e-11,2.47263e-11,2.98e+8,7.0e+5,2.23e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,4.78381e-11,1.65054e-11,2.98e+8,7.0e+5,2.48e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,7.76095e-11,1.45925e-11,2.98e+8,7.0e+5,2.73e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.59902e-11,4.91189e-11,2.98e+8,7.0e+5,2.98e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,2.07416e-10,9.29242e-11,2.98e+8,7.0e+5,3.23e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,2.46791e-10,7.57149e-11,2.98e+8,7.0e+5,3.48e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,3.00773e-10,8.05981e-11,2.98e+8,7.0e+5,3.73e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,4.48101e-10,1.68301e-10,2.98e+8,7.0e+5,3.98e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,4.77636e-10,1.78111e-10,2.98e+8,7.0e+5,4.24e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.11664e-10,2.03712e-10,2.98e+8,7.0e+5,4.49e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.10586e-10,2.21808e-10,2.98e+8,7.0e+5,4.74e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,4.81395e-10,1.8812e-10,2.98e+8,7.0e+5,4.99e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.1306e-10,2.54874e-10,2.98e+8,7.0e+5,5.24e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.59327e-10,1.22234e-10,2.98e+8,7.0e+5,5.49e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.22196e-10,2.20865e-10,2.98e+8,7.0e+5,5.74e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.54465e-10,2.29829e-10,2.98e+8,7.0e+5,5.99e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,4.97982e-10,2.84276e-10,2.98e+8,7.0e+5,6.24e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.86812e-10,2.17909e-10,2.98e+8,7.0e+5,6.49e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.73901e-10,1.96265e-10,2.98e+8,7.0e+5,6.73e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,6.92469e-10,3.09714e-10,2.98e+8,7.0e+5,6.99e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,8.02247e-10,2.55064e-10,2.98e+8,7.0e+5,7.23e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.0924e-9,6.66476e-10,2.98e+8,7.0e+5,7.49e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.30069e-9,6.12182e-10,2.98e+8,7.0e+5,7.73e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.46584e-9,5.13647e-10,2.98e+8,7.0e+5,7.99e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.36874e-9,5.77301e-10,2.98e+8,7.0e+5,8.23e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.34232e-9,4.22024e-10,2.98e+8,7.0e+5,8.48e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.17395e-9,5.33148e-10,2.98e+8,7.0e+5,8.73e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.11339e-9,3.92842e-10,2.98e+8,7.0e+5,8.98e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.07002e-9,3.18111e-10,2.98e+8,7.0e+5,9.23e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.09822e-9,5.76864e-10,2.98e+8,7.0e+5,9.48e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.93717e-10,5.08689e-10,2.98e+8,7.0e+5,9.73e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.02119e-9,2.71396e-10,2.98e+8,7.0e+5,9.98e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.14384e-10,1.76214e-10,2.98e+8,7.0e+5,1.023e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.34993e-10,4.45412e-10,2.98e+8,7.0e+5,1.048e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,8.21024e-10,3.68693e-10,2.98e+8,7.0e+5,1.073e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,7.53367e-10,3.34316e-10,2.98e+8,7.0e+5,1.098e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.23949e-10,2.05751e-10,2.98e+8,7.0e+5,1.123e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.93702e-10,4.43013e-10,2.98e+8,7.0e+5,1.148e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.98105e-10,2.89291e-10,2.98e+8,7.0e+5,1.173e+7,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
