DatasetID,year1,author1,y:Value,y,dy,x1:ResEn,x1(eV),dx1(eV),x2:IncEn,x2(eV),dx2(eV),x3:SecEn,x3(eV),dx3(eV),x4:Angle,x4(deg),dx4(deg),x5:Num,x5,dx5,x6:Other,x6,dx6,x7:Prod,ProdZA,ProdM,zaTarg1,Targ1,Proj,Emiss,Prod1,MF,MT,ReacType,Quant1,nx,indVars,Reacode
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.44418e-10,1.01088e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),-7.6e+5,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),3.89095e-10,3.03054e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),-5.1e+5,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.22693e-10,2.60614e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),-2.6e+5,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.34552e-10,2.26629e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),-1.0e+4,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.95981e-10,6.05117e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),2.3e+5,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.05791e-10,1.47413e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),4.9e+5,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),4.17787e-10,3.43343e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),7.4e+5,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),3.23574e-10,1.85711e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),9.9e+5,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),2.87372e-10,1.03649e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.24e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.54328e-10,2.31547e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.49e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),7.47432e-11,2.89707e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.74e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),2.65662e-11,1.52853e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.99e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.72142e-11,2.47263e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),2.23e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),4.78381e-11,1.65054e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),2.48e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),7.76095e-11,1.45925e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),2.73e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.59902e-11,4.91189e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),2.98e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),2.07416e-10,9.29242e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),3.23e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),2.46791e-10,7.57149e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),3.48e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),3.00773e-10,8.05981e-11,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),3.73e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),4.48101e-10,1.68301e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),3.98e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),4.77636e-10,1.78111e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),4.24e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.11664e-10,2.03712e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),4.49e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.10586e-10,2.21808e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),4.74e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),4.81395e-10,1.8812e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),4.99e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.1306e-10,2.54874e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),5.24e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.59327e-10,1.22234e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),5.49e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),6.22196e-10,2.20865e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),5.74e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.54465e-10,2.29829e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),5.99e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),4.97982e-10,2.84276e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),6.24e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),5.86812e-10,2.17909e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),6.49e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),6.73901e-10,1.96265e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),6.73e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),6.92469e-10,3.09714e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),6.99e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),8.02247e-10,2.55064e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),7.23e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.0924e-9,6.66476e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),7.49e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.30069e-9,6.12182e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),7.73e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.46584e-9,5.13647e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),7.99e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.36874e-9,5.77301e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),8.23e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.34232e-9,4.22024e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),8.48e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.17395e-9,5.33148e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),8.73e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.11339e-9,3.92842e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),8.98e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.07002e-9,3.18111e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),9.23e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.09822e-9,5.76864e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),9.48e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.93717e-10,5.08689e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),9.73e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.02119e-9,2.71396e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),9.98e+6,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.14384e-10,1.76214e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.023e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.34993e-10,4.45412e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.048e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),8.21024e-10,3.68693e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.073e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),7.53367e-10,3.34316e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.098e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.23949e-10,2.05751e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.123e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.93702e-10,4.43013e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.148e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.98105e-10,2.89291e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.173e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.72987e-10,3.30639e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.198e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.87789e-10,2.66169e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.223e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),8.72101e-10,4.48894e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.248e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),8.86533e-10,3.06935e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.273e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),1.03095e-9,3.74137e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.298e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.18422e-10,3.77527e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.323e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),9.2677e-10,4.25053e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.348e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),8.74764e-10,3.62e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.373e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,Data(B/SR/EV),7.29978e-10,3.23905e-10,null,,,EN(EV),2.98e+8,7.0e+5,EXC(EV),1.398e+7,1.2e+6,ANG(ADEG),2,2,null,,,null,,,null,,,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
